data,t,greenwald_density,greenwald_fraction
1.735904432768712e+19,0.42,5.883399000049671e+19,0.2950512845982495
1.7522130603317086e+19,0.425,5.9088901913567625e+19,0.2965384367600469
1.7503744301006883e+19,0.43,5.882586515404007e+19,0.29755183804219415
1.771698870185732e+19,0.435,5.89164186006641e+19,0.30071394566501397
1.7456545459889388e+19,0.44,5.913531067961053e+19,0.29519664747289964
1.7421886714682855e+19,0.445,5.9557743972334e+19,0.29252093099388954
1.774092186547451e+19,0.45,5.9426502564396425e+19,0.29853552034716985
1.776235971465571e+19,0.455,5.936621276455923e+19,0.29919981227536857
1.7622717921166014e+19,0.46,5.977130145925713e+19,0.29483577387349463
1.7642163957268111e+19,0.465,5.984807502025912e+19,0.2947824796586369
1.7755564887851815e+19,0.47,5.993792770806965e+19,0.2962325453480989
1.7830671071356314e+19,0.475,6.0178732349398884e+19,0.2962952254931375
1.8011987341905371e+19,0.48,5.99938780699776e+19,0.3002304221923438
1.7959842365806545e+19,0.485,6.0210743019214905e+19,0.29828302168726045
1.7789634651083477e+19,0.49,6.059346143262125e+19,0.2935900051008838
1.7802637851288117e+19,0.495,6.020878356273662e+19,0.29568173940498305
1.7909369655485331e+19,0.5,6.082445673993264e+19,0.29444356128095794
1.8074254112881494e+19,0.505,6.0427661374117724e+19,0.29910563642337196
1.8040247577804229e+19,0.51,6.07346192694999e+19,0.2970340111585057
1.794876781012882e+19,0.515,6.088945871856435e+19,0.2947762747093774
1.787613491189065e+19,0.52,6.110280625768786e+19,0.29255832926072034
1.8028410248488702e+19,0.525,6.09006141652807e+19,0.29603002359813074
1.795928488723422e+19,0.53,6.139675290052894e+19,0.29251196584175543
1.827955741361358e+19,0.535,6.107975747736466e+19,0.29927357554403744
1.8169973152681818e+19,0.54,6.108921498217864e+19,0.2974334038828701
1.836839053966262e+19,0.545,6.11298765715172e+19,0.30048139420293174
1.8207815246918128e+19,0.55,6.164296751858105e+19,0.2953753847335423
1.831826660029524e+19,0.555,6.113948115156878e+19,0.29961436137940156
1.8034752182521e+19,0.56,6.161877222451557e+19,0.292682757728589
1.8416037160947665e+19,0.565,6.139391526464321e+19,0.2999651851745228
1.8525671385468916e+19,0.57,6.180751659347313e+19,0.29973168971207664
1.856273826576768e+19,0.575,6.1698714289807114e+19,0.30086102246111673
1.845920108655467e+19,0.58,6.2190776267600904e+19,0.29681573690488294
1.8498804224525197e+19,0.585,6.177116823910569e+19,0.29947311588667824
1.8610487908387672e+19,0.59,6.200848937976571e+19,0.3001280646333654
1.8489582162104734e+19,0.595,6.232617251722295e+19,0.29665839270003946
1.8515074408651125e+19,0.6,6.243126978139862e+19,0.2965673207269554
1.8643754534329573e+19,0.605,6.213884345099664e+19,0.3000338194101124
1.8715511095672697e+19,0.61,6.254056681412273e+19,0.2992539410667192
1.883240295105111e+19,0.615,6.272203283495296e+19,0.30025179510056343
1.8894941098071585e+19,0.62,6.278012651733027e+19,0.30097010226406107
1.888856873163292e+19,0.625,6.239859243464666e+19,0.30270825021278985
1.886729024527692e+19,0.63,6.265947471976654e+19,0.30110833724121616
1.883129989512251e+19,0.635,6.262579291317439e+19,0.3006955923293552
1.8990250266334777e+19,0.64,6.300772094286003e+19,0.30139560647744285
1.8970833761339126e+19,0.645,6.296697032560907e+19,0.30128230186777094
1.9020579667967218e+19,0.65,6.321715208420435e+19,0.3008768829483504
1.911528966048316e+19,0.655,6.312416699143917e+19,0.30282046594096923
1.9073577308204175e+19,0.66,6.327074376691455e+19,0.30145966638973043
1.9315638689590043e+19,0.665,6.353190823349909e+19,0.3040305135901033
1.945902228515295e+19,0.67,6.325789510216904e+19,0.3076141286984701
1.9151935852200055e+19,0.675,6.315364873197346e+19,0.3032593719720236
1.914425937084632e+19,0.68,6.347282508487193e+19,0.3016134754558002
1.9525320190574055e+19,0.685,6.33610407178296e+19,0.3081597140666866
1.9521424227364045e+19,0.69,6.309223710714234e+19,0.309410874022632
1.9469035807896965e+19,0.695,6.321816302820332e+19,0.30796585783758545
1.9886499888573153e+19,0.7,6.314219176900902e+19,0.3149478871643112
1.9772023094835053e+19,0.705,6.263570433409964e+19,0.3156669714987291
1.979077109855801e+19,0.71,6.3459926702496735e+19,0.3118624953876502
2.0342081669039305e+19,0.715,6.313620981636095e+19,0.3221935831784427
2.0336496758141665e+19,0.72,6.35829347736866e+19,0.3198420587304787
2.031965874355662e+19,0.725,6.319637148360503e+19,0.32153204790923995
2.0792451557094728e+19,0.73,6.341326327543318e+19,0.3278880550080427
2.116307771020283e+19,0.735,6.364100213946832e+19,0.3325384107532477
2.124408892367494e+19,0.74,6.345491166759692e+19,0.3347903001576973
2.1550192021847355e+19,0.745,6.383146947736428e+19,0.33761077722782834
2.175630127959212e+19,0.75,6.347622149577727e+19,0.3427472645176186
2.1859223291895276e+19,0.755,6.3920915675710456e+19,0.3419729373526738
2.2166981637498896e+19,0.76,6.395026918407766e+19,0.3466284336300813
2.246693698400216e+19,0.765,6.372955452960901e+19,0.3525356037686397
2.2249508638271246e+19,0.77,6.391380228848734e+19,0.3481174306895993
2.2764756548232385e+19,0.775,6.44264213449704e+19,0.3533450418786852
2.28580252986367e+19,0.78,6.40334957896701e+19,0.3569698173861713
2.29295428841345e+19,0.785,6.4531668097643815e+19,0.35532233336103247
2.258709697834571e+19,0.79,6.442017687038922e+19,0.35062146792595794
2.321006133647454e+19,0.795,6.497007783089501e+19,0.35724232002439643
2.279043327294687e+19,0.8,6.510205685106966e+19,0.3500723997873565
2.301105049602515e+19,0.805,6.519622497225282e+19,0.352950657891903
2.325869774078512e+19,0.81,6.543563260004331e+19,0.35544391972103784
2.337779573931697e+19,0.815,6.531140303911529e+19,0.3579435542873869
2.302440614619077e+19,0.82,6.547004553578768e+19,0.35167848071229785
2.3376230067828736e+19,0.825,6.531964859083831e+19,0.3578744003088141
2.354777772586056e+19,0.83,6.597953701665321e+19,0.3568951646313782
2.3693901679253828e+19,0.835,6.5959426381654245e+19,0.3592193410257427
2.378713712405695e+19,0.84,6.598332520423149e+19,0.3605022488701659
2.4290996845103505e+19,0.845,6.611461097484935e+19,0.36740739281282375
2.5035252096478253e+19,0.85,6.6470812248894915e+19,0.37663526666013425
2.433042457109532e+19,0.855,6.552274044163417e+19,0.3713279451852015
2.4919950051968737e+19,0.86,5.901374001861115e+19,0.4222736949752674
2.567387734187671e+19,0.865,5.5883329147396645e+19,0.45941925317584165
2.636331821962778e+19,0.87,5.257182713604384e+19,0.5014723599277908
2.561432951011614e+19,0.875,5.176930852826089e+19,0.4947782815397904
2.621056001839651e+19,0.88,4.844721718784586e+19,0.54101270495619
2.878855032530725e+19,0.885,6.722536838590967e+19,0.428239383680957
inf,0.89,inf,
-inf,0.895,inf,
