t,pohm,pss,psw,pdw_dt,prad_core,psol
0.71,489982.27751514554,975200.0000000006,487600.0000000003,59419.536847261035,312295.24559445714,1581067.4950734281
0.715,461268.361415213,975199.9999999952,487599.9999999976,133485.01152707534,318251.1818243446,1472332.1680637859
0.72,462078.47987314867,968000.0000000005,484000.00000000023,198705.3844359157,323437.3491183109,1391935.7463189228
0.725,381590.51511644025,959999.9999999934,479999.9999999967,426887.8145589462,327842.76195343444,1066859.9386040496
0.73,338620.3650402807,975200.0000000006,487600.0000000003,494357.832610214,331284.0841128838,975778.4483171838
0.735,290274.5336389829,972000.0000000006,486000.0000000003,491424.81620726886,333688.02667292545,923161.6907587894
0.74,294313.9957271612,970400.0000000006,485200.0000000003,330981.7885355542,335011.4038925973,1083920.8032990105
0.745,286012.14338675915,955999.9999999988,477999.9999999994,242961.17523987332,335139.3442716377,1141911.6238752464
0.75,306198.2017025616,976800.0000000006,488400.0000000003,167343.81121178364,334015.1250013524,1270039.2654894264
0.755,379619.4393886081,975199.9999999952,487599.9999999976,-175561.61914683387,331650.902365912,1686330.1561695228
0.76,394222.9649179394,974400.0000000005,487200.00000000023,-201061.57570537677,327921.304958284,1728963.2356650329
0.765,417623.4216846214,960799.9999999988,480399.9999999994,51363.83607923338,322993.4859833131,1484466.0996220731
0.77,478482.34838048584,983200.0000000006,491600.0000000003,-155229.85555714904,316941.505016389,1791570.6989212467
0.775,486144.0536161342,980799.9999999969,490399.9999999984,-191558.81973067284,309970.2751340897,1838932.5982127127
0.78,479306.062696448,978400.0000000006,489200.0000000003,36571.63250612353,302331.6431793786,1608002.7870109468
0.785,472646.60251078,964000.0000000006,482000.0000000003,47681.6207782576,294409.7921004919,1576555.1896320314
0.79,461093.6708303085,991200.0000000006,495600.0000000003,-55574.80927105931,286746.3470588798,1716722.133042489
0.795,481959.6598843056,987999.999999997,493999.9999999985,-40694.41727341469,279861.99022267584,1724792.08693504
0.8,468971.34744739265,986400.0000000006,493200.0000000003,144279.46816415997,274267.88541617995,1530023.9938670537
0.805,447024.8039794787,971999.999999997,485999.9999999985,-16102.838432545079,270627.25296337914,1650500.38944864
0.81,426955.1233156889,996000.0000000006,498000.0000000003,-12130.7803573852,269504.81265272986,1663581.091020345
0.815,426858.6808558295,994399.9999999935,497199.99999999674,91907.77917820479,271327.970183254,1555222.931494361
0.82,357567.88432085543,993599.9999999987,496799.99999999936,438637.2746218212,276417.6043228549,1132913.0053761774
0.825,311029.3466079307,977600.0000000005,488800.00000000023,532293.8383283579,284903.18123510183,960232.3270444716
0.83,276010.0900645652,1004000.0000000005,502000.00000000023,390814.2319903009,296686.4788930285,1094509.3791812365
0.835,204933.61741531035,1002400.0000000005,501200.00000000023,543840.5128005628,311447.87754618644,853245.2270685618
0.84,186770.92965041075,1002399.9999999969,501199.9999999984,395521.26740349253,328480.534200688,966369.1280462255
0.845,171142.78280660577,987200.0000000006,493600.0000000003,501018.52307667775,346959.1731834614,803965.0865464674
0.85,37780.11279978712,1012799.9999999988,506399.9999999994,418844.7101671749,365837.03763849736,772298.3649941131
0.855,-484802.84152831184,1009600.0000000005,504800.00000000023,481803.6098741437,383760.52944064385,164033.0191569014
0.86,-690313.5706499082,1009599.9999999987,504799.99999999936,644903.0593619533,399413.21032470244,-220229.84033656592
0.865,-534672.2508159399,995200.0000000006,497600.0000000003,505506.0972821474,411459.88671851956,41161.76518339425
0.87,-366929.7018228394,1020799.9999999988,510399.9999999994,-196604.69739971074,418592.0585956272,942282.9369812425
0.875,-214489.3736685799,1018400.0000000005,509200.00000000023,-722043.1025057066,419762.3124971541,1615391.4163399732
0.88,184210.66136966966,1017599.9999999988,508799.9999999994,-581862.5555477719,414118.52179529215,1878354.6951221474
0.885,772726.3473884317,1004800.0000000006,502400.0000000003,-4379132.189082465,401156.78123063105,6257901.755240266
0.89,943334.394164122,1029599.9999999988,514799.9999999994,-6711375.181821518,380828.36835518363,8818281.207630454
0.895,1243772.0506977716,1028800.0000000005,514400.00000000023,-5339517.008917284,353476.2866433237,7773012.772971733
